"code","description","relatedEmdnCodes"
"52995","Creatine kinase myocardial isoenzyme (CKMB) IVD, kit, rapid ICT, clinical",""
"62331","Plethysmography phototransducer",""
"61236","Vascular ultrasound system control unit",""
"53616","Bare-metal coronary artery stent",""
"52904","Multiple clinical chemistry enzyme IVD, reagent",""
"55561","Clozapine IVD, reagent",""
"55560","Clozapine IVD, control",""
"55559","Clozapine IVD, calibrator",""
"62983","Bioelectric wound dressing",""
"54411","Free thyroxine (FT4) IVD, kit, radioimmunoassay",""
"51708","Beta-haemolytic Group A Streptococcus antigen IVD, kit, agglutination",""
"58899","Soluble transferrin receptor IVD, kit, enzyme immunoassay (EIA)",""
"54845","Multiple rheumatoid arthritis-associated antibody IVD, kit, enzyme immunoassay (EIA)",""
"52231","Fasciola hepatica total antibody IVD, kit, enzyme immunoassay (EIA)",""
"55046","Native DNA antibody (anti-nDNA) IVD, kit, enzyme immunoassay (EIA)",""
"52376","Multiple Schistosoma species immunoglobulin G (IgG) antibody IVD, kit, enzyme immunoassay (EIA)",""
"51819","Treponema pallidum reagin antibody IVD, kit, agglutination",""
"42572","Ophthalmic irrigation/infusion/aspiration cannula, illuminating, single-use",""
"65935","Ophthalmic procedural light source unit",""
"60095","Amniotic fluid/chorionic villus sample (CVS) karyotype suspension IVD, reagent",""
"54533","Faecal occult blood IVD, reagent",""
"63872","Surgical patient underpants",""
"51027","Helicobacter pylori urease IVD, control",""
"51028","Helicobacter pylori urease IVD, reagent",""
"48010","Nasal lavage system",""
"36258","Emesis bag",""
"64745","Blood irradiation indicator",""
"62550","Blood smearing manual instrument IVD",""
"37784","Laboratory scale, mechanical",""
"33312","Chair scale, mechanical",""
"47007","Ophthalmic surgical irrigation/infusion/aspiration handle, single-use",""
"67548","Glaucoma shunt, tubular, non-animal-derived",""
"42526","Eye valve",""
"57940","Oral/upper respiratory tract specimen collection swab",""
"16210","Hand/finger splint, single-use",""
"17988","Antiseptic skin towelette",""
"47442","Transobturator needle, reusable",""
"47441","Transvaginal mesh-sling introduction needle",""
"36337","Urine flowmeter, reusable",""
"11111","Cystometer",""
"47035","Polymeric urethral stent, short-term",""
"63087","Blood glucose/blood pressure monitoring system, home-use",""
"65677","Orthodontic palate expander screw, bonded",""
"64769","Orthodontic palate expander/teeth aligner, bonded",""
"65678","Orthodontic palate expander screw, self-removable",""
"40734","Orthodontic clasp, metal, custom-made",""
"65804","Orthodontic rod-based aligner",""
"65675","Orthodontic habit prevention/breaking appliance, bonded",""
"13187","Dental pulp analysis system",""
"44999","Dental material mixing surface, chairside, single-use",""
"47527","Mandible-repositioning/palate-lifting sleep-disordered breathing orthosis",""
"65679","Orthodontic palate expander/teeth aligner, self-removable",""
"61485","Sacroiliac joint transarticular fixation/arthrodesis implant, uncoated",""
"58849","Sacroiliac joint transarticular fixation/arthrodesis implantation kit",""
"60501","Tendon graft",""
"61625","Cadaveric pulmonary artery bioprosthesis",""
"43999","Bone graft syringe, single-use",""
"35701","Fluoride gel tray",""
"38355","Radiation shielding apron",""
"35344","Orthopaedic cement spatula",""
"64006","Bone file/rasp, reciprocating, reusable",""
"37743","Tape measure, reusable",""
"58263","Vibrating dental retractor tip",""
"35336","Dental instrument sharpener",""
"46338","Orthodontic band material",""
"46235","Scalpel blade remover",""
"47383","Rubber dam stabilization cord, non-latex",""
"56288","Polychloroprene examination/treatment glove, non-powdered",""
"16181","Dental articulation paper",""
"67230","Digital imaging phosphor plate, dental, intraoral",""
"33531","Saliva absorbent",""
"64949","Steel dental bur, single-use",""
"63517","Dental abrasive point, single-use",""
"65256","Periodontal pick/brush, single-use",""
"16184","Dental polishing cup, reusable",""
"38785","Dental bleaching agent",""
"63622","Endodontic obturation material distribution endpiece, single-use",""
"42344","Dental mould",""
"34976","Preformed dental crown, temporary",""
"35867","Dental amalgam well",""
"45500","Root canal cleaning solution",""
"61050","Dental bib",""
"47750","Warm-bonded endodontic obturation system",""
"40579","Glutaraldehyde device sterilant",""
"58894","Dental impression material syringe, single-use",""
"38783","Dental caries removal solution",""
"47867","Surgical power tool battery-exchange sterility cover",""
"61467","General external orthopaedic fixation system implantation kit, single-use",""
"61863","Ankle prosthesis trial, reusable",""
"61246","Surgical implant/trial-implant/sizer holder, single-use",""
"61212","Elbow radius prosthesis trial",""
"66646","Orthopaedic implant impactor, single-use",""
"61617","Metallic osteotomy fusion cage, non-customized",""
"61848","Absorbent underpad, antimicrobial",""
"63932","Osteotomy compression/distraction instrument",""
"60942","Orthopaedic surgery tissue debris collector, reusable",""
"47612","Bone marrow explant needle",""
"46543","Composite bone graft",""
"36103","Bone marker",""
"36142","Aspiration tray, single-use",""
"58751","Elbow ulna prosthesis trial",""
"60937","Reverse shoulder cup prosthesis trial, reusable",""
"58750","Elbow humerus prosthesis trial",""
"40124","Hinged total elbow prosthesis",""
"61004","Shoulder reverse/standard adaptor prosthesis",""
"44784","Intermittent venous compression system pump",""
"45116","Tooth dryer",""
"58910","Total knee prosthesis implantation guide-instrument kit",""
"11202","Device operating status label/tag, reusable",""
"44798","Internal spinal fixation system cable crimp",""
"37473","Dermatome handpiece, pneumatic",""
"60514","Metallic reverse shoulder prosthesis cup",""
"58989","Knee arthroplasty force sensor balance kit",""
"35952","Helicopter ambulance",""
"65140","Surgical irrigation/aspiration pump, single-use",""
"46482","Orthopaedic cement fume evacuator",""
"62663","Traction weight",""
"48125","Antibiotic directional flow irrigation system",""
"13624","Leg sling",""
"13623","Knee sling",""
"56189","Coagulation factor XII inhibitor IVD, control",""
"33667","Trabeculated knee tibia/insert prosthesis",""
"66946","Femoral neck fixation sliding bone screw",""
"33174","Coated elbow humerus prosthesis",""
"39704","Coated ankle tibia prosthesis",""
"48095","Trabeculated shoulder humeral stem prosthesis",""
"61884","Cadaveric-donor/synthetic mineral bone graft",""
"64809","Water vapour endometrial-ablation applicator",""
"64808","Water vapour endometrial-ablation control unit",""
"46248","Reactive-gel heating pad",""
"40522","Laminar airflow hood",""
"20652","Class-I biological safety cabinet",""
"17140","Cryogenic analgesia unit",""
"64749","Luer needle extender",""
"16469","Manual expandable cervical dilator",""
"47754","Infrared tissue coagulation system",""
"35673","Bronchial cannula",""
"47936","Colpotomy tube",""
"63992","Uterine manipulator cervical cup/transilluminator",""
"47431","Radial surgical retractor",""
"35472","Amniotome, single-use",""
"58968","Instrument management bag",""
"20653","Class-II biological safety cabinet",""
"15622","Uterine injector",""
"47758","Infrared tissue coagulation system light guide",""
"47757","Infrared tissue coagulation system handpiece",""
"62243","Urodynamic manometric catheter, electronic, single-use",""
"43612","Ophthalmic cryosurgical system applicator, retinal",""
"43611","Ophthalmic cryosurgical system applicator, cataract",""
"43610","Ophthalmic cryosurgical system applicator, glaucoma",""
"34965","Hygroscopic cervical dilator",""
"32634","Endometrial cytology brush",""
"16227","Endocervical aspirator",""
"46402","Foetal vacuum extraction system, manual, single-use",""
"37792","Foetal vacuum extraction system cup, single-use",""
"32608","Contraceptive cervical cap, single-use",""
"47061","Cervical anaesthesia needle, single-use",""
"45738","General cryosurgical system, cryogen gas, electronic",""
"46083","Traction table, line-powered",""
"63364","Orthopaedic femur reamer trial",""
"40774","Physical therapy ultrasound system applicator, hand-held",""
"12099","Knee immobilizer",""
"31115","Axillary crutch",""
"37794","Electromyography monitor",""
"38469","Hot therapy pack heating unit",""
"61186","Multi-modality physical therapy system, professional-use",""
"36034","Cold therapy pack chilling unit",""
"45208","Interferential electrical stimulation system electrode",""
"45533","Horizontal non-powered traction system",""
"32965","Circulating-fluid localized thermal therapy system pack, reusable",""
"12095","Arm immobilizer",""
"35463","Patient-worn bone growth electromagnetic stimulator",""
"34479","Short-wave diathermy treatment system electrode",""
"37470","Padded stays splint, reusable",""
"41435","Foot orthosis",""
"45606","Compression/pressure shirt/pants",""
"46304","Drug-delivery iontophoresis system electrode, active",""
"18155","Drug-delivery iontophoresis system, reusable",""
"45141","Drug-delivery iontophoresis patch",""
"65880","Orthopaedic implant reamer",""
"12101","Shoulder immobilizer/orthosis, reusable",""
"41039","Cervical spine collar, reusable",""
"62570","Rigid optical arthroscope, single-use",""
"67083","Orthopaedic fixation plate cerclage pin/eye",""
"35714","Orthopaedic casting stand",""
"66273","Bone lever/elevator, single-use",""
"46241","Surgical support tape, bioabsorbable",""
"44758","General external orthopaedic fixation system implantation kit, reusable",""
"61005","Shoulder reverse/standard adaptor prosthesis trial",""
"65038","Orthopaedic fixation suture button",""
"16833","Bone marrow biopsy procedure kit",""
"65729","Multiple progressive systemic sclerosis-associated antibody IVD, control",""
"64767","Glenoid defect sizer",""
"45027","Soft-tissue/mesh anchor, bioabsorbable",""
"47155","Haematological concentrate system preparation kit, thrombin separation",""
"45815","Haemodialysis citrate anticoagulation solution",""
"35436","Manual wire driver",""
"60336","Blood centrifugation system",""
"62787","Orthopaedic surgical distractor, external",""
"36608","Orthopaedic operating table top",""
"48747","Barmah Forest (BF) virus immunoglobulin M (IgM) antibody IVD, control",""
"41138","Surgical finger guard",""
"47302","Suture trimmer",""
"36431","X-ray film magnifying glass",""
"44011","Decontamination floor mat, single-use",""
"30023","Domestic floor mopping assistive device",""
"63000","Ligament graft sizer, invasive",""
"62895","Orthopaedic osteotome handle",""
"64994","Reverse bone-resection orthopaedic reamer",""
"15682","Centrifuge bucket/tube holder",""
"32678","Fallopian tube occlusion insert, non-biodegradable",""
"42518","Wart-removal cryogenic kit",""
"66306","Neurosurgical curette, reusable",""
"63706","Surgical irrigation/aspiration cannula, illuminating, single-use",""
"63259","Dermal curette, single-use",""
"66419","Hypodermic needle, reusable",""
"62771","Neurosurgical retraction system, spinal",""
"63597","Ligature loop applier",""
"35165","Endarterectomy loop",""
"61368","Urethral self-catheterization assistive guide, reusable",""
"47156","Skin detergent",""
"44511","Gel-filled chair cushion",""
"32207","Skin-closure adhesive strip",""
"42398","Blood pressure cuff inflator, manual",""
"56146","Thrombin activating fibrinolysis inhibitor IVD, reagent",""
"10153","Ankle binder, single-use",""
"64506","Dressing dispenser",""
"61522","Funnel chest remodelling bar",""
"67349","Fixed dental occlusal splint, custom-made",""
"47930","Temporary mandibular condyle prosthesis",""
"64610","Implantable craniofacial bone distractor expansion tool, home-use",""
"45886","Bone pin ultrasonic osteosynthesis system sonotrode tip",""
"47996","Orthodontic anchor plate",""
"62746","Orthopaedic trocar blade, single-use",""
"62454","Medical tubing clip/clamp, permanent",""
"11799","Forceps jar",""
"45882","Bone pin ultrasonic osteosynthesis system",""
"45885","Bone pin ultrasonic osteosynthesis system handpiece",""
"67356","Surgical instrument/implant depth limiter, single-use",""
"47624","Bone graft harvesting filter",""
"67480","Rigid bladed intubation laryngoscope, direct, reusable",""
"46639","Craniofacial bone tack, bioabsorbable",""
"61428","Endodontic lavage system",""
"40517","Sterilization packaging, reusable",""
"64403","Root canal irrigation blunt needle",""
"61803","Surgical saw blade, sagittal, reprocessed",""
"64813","Endodontic instrument chairside holder set",""
"64815","Endodontic instrument-holding insert, single-use",""
"63877","Dental material mixing surface, chairside, reusable",""
"64476","Dental restoration position holder",""
"14301","Urological irrigation set",""
"40876","General-purpose dental x-ray system application software",""
"66696","Dental digital imaging phosphor plate intraoral cover",""
"58807","Moisture/lubrication otic solution",""
"35861","Gingival retraction cord, non-medicated",""
"38651","Dental shade guide",""
"10201","Dental articulator",""
"31810","Anaesthesia warmer",""
"46423","Gingival retraction solution",""
"45330","Dental soft-tissue coring punch, single-use",""
"38644","Ceramic artificial teeth",""
"48319","Hepatitis B virus surface antigen IVD, kit, enzyme immunoassay (EIA)",""
"46640","Craniofacial bone tack, non-bioabsorbable",""
"61482","Dental cement trial",""
"38795","Dental material injection cannula, reusable",""
"45635","Endoscope drying/storage cabinet",""
"34836","Dental amalgam alloy",""
"63202","Endodontic broach, serrated, single-use",""
"65059","Dental implant kit",""
"34524","Dental tooth-cleaning solution",""
"41367","Insulin antibody IVD, calibrator",""
"33710","Partial shoulder prosthesis",""
"61602","Alpha defensin IVD, kit, rapid ICT, clinical",""
"32879","Orthopaedic wire crimper",""
"33370","Total wrist radius prosthesis",""
"35663","Total wrist carpal articulation prosthesis",""
"44316","Hand-held telescope",""
"35993","Bedrail pad",""
"15732","Birthing bed/table, powered",""
"18007","Personal paging system",""
"36998","In-exsufflator",""
"64589","In-exsufflation/lung-oscillation airway secretion-clearing system",""
"47152","Therapeutic positive pressure breathing ventilator",""
"58876","Gait rehabilitation system harness",""
"66996","Patient transfer/turning sheet, reusable",""
"38122","Chest-oscillation airway secretion-clearing system vest",""
"35921","Air-fluidized bed",""
"61916","Surgical vessel loop",""
"12236","Surgical instrument interim-placement holder, single-use",""
"15778","Clamp jaw cover",""
"37483","Electrosurgical tip cleaning pad",""
"61141","Luer-formatted disinfection cap",""
"45760","In-line arterial blood sampling set",""
"35889","Pulmonary artery balloon catheter, non-electrical",""
"47528","Palate-lifting sleep-disordered breathing orthosis",""
"42848","External spinal fixation system",""
"63367","Long bone distraction intramedullary nail, magnetic",""
"63368","Distraction implant preimplantation adjustment device",""
"47127","Lumbar interspinous decompression instrument set, reusable",""
"60741","Spinal rod bending system",""
"60742","Electric orthopaedic bender",""
"46448","Fascial tissue dilator, single-use",""
"65265","Arthrodesis intramedullary nail, magnetic distraction",""
"64673","Long bone distraction plate, magnetic",""
"56302","Craniotomy kit",""
"44057","General surgical procedure kit, medicated",""
"46408","Cardiothoracic surgical procedure kit, medicated, single-use",""
"44053","Orthopaedic surgical procedure kit, medicated",""
"44092","Laparoscopic surgical procedure kit, medicated",""
"44090","Arthroscopic surgical procedure kit, medicated",""
"46413","Ophthalmic surgical procedure kit, medicated, single-use",""
"44068","ENT surgical procedure kit, medicated",""
"44095","Nephroscopic surgical procedure kit, non-medicated, single-use",""
"61876","Open-surgery electrosurgical electrode, monopolar, reusable",""
"46395","Corneal bur handpiece, battery-powered",""
"35143","Sternum knife",""
"33393","Gelfoam punch",""
"65310","Manual surgical saw blade, flexible, single-use",""
"36083","Laparoscopic dissection spatula",""
"61939","Surgical sleeve cover",""
"62667","Laparoscopic tissue manipulation forceps/working-channel",""
"37942","Palate prosthesis",""
"45921","Tracheostomy tube obturator",""
"46550","Spectacle-mounted magnifier",""
"63467","Dental implant stability resonance frequency analysis unit",""
"64111","Laparoscopic irrigation cannula",""
"46909","Ophthalmic working-channel cannula, reusable",""
"45942","Alpha-2-AP-glycoprotein IVD, calibrator",""
"45938","Alpha-1-B glycoprotein IVD, calibrator",""
"46313","Cast breaker",""
"45925","Operative tracheostomy tube",""
"45923","Tracheostomy kit, reusable",""
"45939","Alpha-1-B glycoprotein IVD, control",""
"46279","Manual cranial rotary handpiece, reusable",""
"64415","Skin marking guide, single-use",""
"62639","Upper-limb traction wrap/trap, reusable",""
"63246","Vertebral bone biopsy procedure kit, reusable",""
"64421","Robotic surgical needle holder, reusable",""
"63113","Robotic surgical forceps, reusable",""
"63109","Robotic electrosurgical instrument, bipolar, reusable",""
"63111","Robotic electrosurgical instrument, monopolar, reusable",""
"37946","Leakage current tester",""
"63117","Robotic surgical retractor",""
"63502","Robotic surgical cutting stapler, single-use",""
"63110","Robotic electrosurgical instrument, bipolar, single-use",""
"63114","Robotic surgical cutting stapler, reusable",""
"64425","Robotic surgical irrigation/aspiration cannula, reusable",""
"57786","Bronchoscopic catheter",""
"58483","Endoscopic motorized cutting stapler, single-use",""
"64426","Robotic surgical irrigation/aspiration cannula, single-use",""
"63112","Robotic surgical scissors, endoscopic",""
"64401","Robotic surgical ligation clip applier",""
"63120","Soft-tissue ultrasonic robotic surgical instrument, single-use",""
"63116","Soft-tissue ultrasonic robotic surgical instrument, reusable",""
"58050","Ligation clip cartridge holder",""
"44755","Soft-tissue ultrasonic surgical system handpiece tip, single-use",""
"36152","Electrosurgical system monitor/shield",""
"47780","Patient surgical drape, reusable",""
"36356","Cardiopulmonary bypass system pressure monitor",""
"36373","Cardiopulmonary bypass system mounting unit",""
"33702","Uncoated elbow humerus prosthesis",""
"33743","Carpal trapezium prosthesis",""
"33786","Metacarpophalangeal joint prosthesis, one-piece",""
"33720","Wrist ulna-head prosthesis",""
"60459","Proximal interphalangeal joint prosthesis, modular",""
"33705","Total wrist prosthesis",""
"45669","Blood centrifugation system containment kit",""
"16534","Cryobiological storage container",""
"37257","Pressure transducer dome, single-use",""
"62220","Injectate temperature probe",""
"60331","Pneumatic line tester, battery-powered",""
"34925","Pulmonary artery balloon catheter, electrical",""
"58172","Thrombectomy rotational catheter",""
"38426","Prostate brachytherapy system applicator, manual",""
"35496","Amniocentesis kit, medicated, single-use",""
"12404","Lumbar puncture kit",""
"35199","Myelography kit",""
"64327","End-cut biopsy gun needle",""
"46669","Breast ductography cannula",""
"61922","Soft-tissue biopsy procedure kit, medicated",""
"65231","Peritoneal lavage catheter",""
"15316","Arthrogram kit",""
"65100","Vascular catheterization support/maintenance kit, medicated",""
"46488","Magnetocardiography system",""
"66092","Guidewire bowl",""
"37318","Electrode/transducer strap, single-use",""
"36115","Radiological image marker, ingestible",""
"62323","Endoscopic-imaging ophthalmic solid-state laser system",""
"42443","Corneal bur system, battery-powered",""
"46698","Intraocular retractor, single-use",""
"35232","Physical therapy paraffin wax bath",""
"62292","Freestanding patient positioner, single-use",""
"46453","External orthopaedic fixation system reprocessed component",""
"61813","Laparoscopic access cannula, reprocessed",""
"61822","General-purpose surgical scissors, reprocessed",""
"61818","Open-surgery electrosurgical handpiece/electrode, bipolar, reprocessed",""
"61825","Tourniquet cuff, reprocessed",""
"61817","Endoscopic electrosurgical handpiece/electrode, bipolar, reprocessed",""
"61809","Single-chamber venous compression system garment, reprocessed",""
"61812","Electrocardiographic lead set, reprocessed",""
"61845","Soft-tissue ultrasonic surgical system holder/tip, reprocessed",""
"61810","Multi-chamber venous compression system garment, reprocessed",""
"61814","Laparoscopic trocar blade, reprocessed",""
"61802","Bone tap, reprocessed",""
"61805","Sternum saw blade, reprocessed",""
"61951","Endoscopic electrosurgical electrode, bipolar, reprocessed",""
"61800","Arthroscopic shaver system blade, reprocessed",""
"61804","Surgical saw blade, oscillating, reprocessed",""
"61838","Rigid endoscopic tissue manipulation forceps, reprocessed",""
"61823","Suturing unit, reprocessed",""
"61815","Endoscopic electrosurgical handpiece/electrode, monopolar, reprocessed",""
"61808","Vascular guide-catheter, reprocessed",""
"46359","Cardiac mapping catheter, percutaneous, reprocessed",""
"31754","Orthodontic space maintainer",""
"47311","Atrial cardioversion system catheter",""
"45966","Transthoracic pacing lead",""
"46031","Orthopaedic cement compressor",""
"61047","Carpometacarpal interpositional spacer prosthesis trial",""
"40126","Metacarpal prosthesis",""
"61852","Metacarpophalangeal joint prosthesis, modular",""
"33700","Total metatarsophalangeal joint prosthesis, one-piece",""
"33582","Mobile-bearing total ankle prosthesis",""
"44478","Drug-delivery iontophoresis system, single-use",""
"66421","Orthopaedic knee-balance analyser electrical cable/analogue-to-digital converter",""
"66422","Orthopaedic knee-balance analyser, electrically-powered",""
"66186","Knee tibia prosthesis trial, single-use",""
"62169","Wireless patient monitor/sensor reporting software, layperson-use",""
"47547","Ultrasonic surgical system adaptor, single-use",""
"61719","Saliva pH IVD, kit, rapid colorimetric, clinical",""
"66185","Knee femur prosthesis trial, single-use",""
"58120","External orthopaedic fixation frame calculation software",""
"16077","Orthopaedic bone bolt",""
"35057","Ethylene oxide analyser",""
"58228","Bicompartmental knee prosthesis",""
"32862","Bone skid",""
"35547","Heel stirrup cushion/pad, reusable",""
"44094","Nephroscopic surgical procedure kit, medicated",""
"44060","Obstetrical/gynaecological surgical procedure kit, medicated",""
"15702","Walking aid tip",""
"48134","Woven gauze pad, non-antimicrobial",""
"67048","Venous tourniquet, single-use",""
"58931","Non-antimicrobial wound irrigation solution, multiple solute",""
"62535","Skin-cover sealant",""
"35097","Surgical hair clippers",""
"61634","Sharp surgical instrument counting tray/pad, single-use",""
"57857","Tissue processor IVD, manual",""
"64696","Non-ISO80369-standardized small-bore multichannel connector, single-use",""
"61645","Hand-held electrosurgical system",""
"53341","Ketone (acetoacetate) IVD, reagent",""
"37605","Diagnostic x-ray system generator, mobile",""
"48000","Vacuum-assisted airway secretion-clearing system",""
"31760","Fixed-regulator oxygen refillable cylinder",""
"14359","Ventilator IMV controller",""
"31112","Single-base walking stick",""
"47225","Oxygen refillable cylinder",""
"11744","Respiratory gas flow timer",""
"61605","Oxygen compressor, home-use",""
"41826","Nasal aspirator, manual",""
"48045","Rechargeable public semi-automated external defibrillator",""
"48049","Non-rechargeable professional semi-automated external defibrillator",""
"61796","Cerebrospinal fluid external drainage kit",""
"31657","Blood flowmeter transducer, non-indwelling",""
"46425","Bone matrix implant, animal-derived, bioabsorbable",""
"64889","Ambulatory insulin infusion pump, electronic, non-software-dosing",""
"44799","Internal spinal fixation system cable crimper",""
