Correct GMDN Code|GMDN Description|EMDN Code|EMDN Term
36956|Patient warming/cooling system|Z010401|WATER BLANKETS
64304|Dental hand instrument, reusable|L030201|DENTAL HAND INSTRUMENTS, REUSABLE
46232|Anaesthesia face mask, single-use|R020701|ANAESTHESIA FACE MASKS, SINGLE-USE
35501|Anaesthesia screen|Z010204|ANAESTHESIA SCREENS
34849|Anaesthetic-gas-scavenging system|R020702|ANAESTHETIC GAS SCAVENGING/DISPOSAL SYSTEMS
44909|Dental instrument handpiece, air-powered|L030401|DENTAL INSTRUMENT HANDPIECES, AIR-POWERED
44690|Dental handpiece lubricant|L030402|DENTAL HANDPIECE CLEANING/LUBRICATION SYSTEMS
37434|Dental aspirator tip, single-use|L030501|DENTAL ASPIRATOR TIPS, SINGLE-USE
35866|Dental impression material|L030601|DENTAL IMPRESSION MATERIALS
16367|Dental amalgam|L030701|DENTAL AMALGAMS
62200|Dental cement|L030801|DENTAL CEMENTS
35870|Dental restorative material|L030901|DENTAL RESTORATIVE MATERIALS
47144|Dental chair|L030101|DENTAL CHAIRS
56320|Dental light|L030102|DENTAL LIGHTS
44606|Dental X-ray unit|L031001|DENTAL X-RAY UNITS
46581|Orthodontic bracket|L031101|ORTHODONTIC BRACKETS
37503|Tone audiometer|Z110501|TONE AUDIOMETERS
36398|Hess-screen|Z110603|HESS SCREENS
41188|Speech audiometer|Z110502|SPEECH AUDIOMETERS
34868|Bedrail|Z010203|BED RAILS
11479|Electronystagmograph|Z110604|ELECTRONYSTAGMOGRAPHS
35747|Evoked-potential audiometer|Z110503|EVOKED POTENTIAL AUDIOMETERS
40641|Mobile gamma camera system|Y020101|MOBILE GAMMA CAMERAS
35277|Testicle prosthesis|P020101|TESTICLE PROSTHESES
36251|Rigid penile prosthesis|P020102|PENILE PROSTHESES
37162|Patient transfer sliding board|G020301|PATIENT TRANSFER SLIDING BOARDS
65299|Flexible video gastroscope, single-use|L020503|FLEXIBLE VIDEO GASTROSCOPES, SINGLE-USE
46828|Laryngoscope blade, single-use|R020205|LARYNGOSCOPE BLADES, SINGLE-USE
17591|Pulmonary resuscitator, manual, reusable|R020402|PULMONARY RESUSCITATORS, MANUAL, REUSABLE
64067|Flexible video duodenoscope, single-use|L020504|FLEXIBLE VIDEO DUODENOSCOPES, SINGLE-USE
62159|Flexible video colonoscope, single-use|L020505|FLEXIBLE VIDEO COLONOSCOPES, SINGLE-USE
33843|Polysomnograph|Z110401|POLYSOMNOGRAPHS
35401|Endotracheal tube cuff inflator|R020303|ENDOTRACHEAL TUBE CUFF INFLATORS
11441|Electromyographic needle electrode, single-use|Z110402|ELECTROMYOGRAPHIC NEEDLE ELECTRODES, SINGLE-USE
45018|Needle guide, single-use|A020103|NEEDLE GUIDES, SINGLE-USE
10735|Nephrostomy catheter|U010201|NEPHROSTOMY CATHETERS
30208|Lactate electrode IVD|W010201|LACTATE ELECTRODES
57299|Total hCG IVD, antibody|W010301|TOTAL HCG ANTIBODY
57331|Insulin IVD, antibody|W010302|INSULIN ANTIBODY
60723|Medical image management system software|Y030103|PICTURE ARCHIVING AND COMMUNICATION SYSTEMS
40943|PACS workstation|Y030101|PACS WORKSTATIONS
46265|Cardiac mapping system|C010302|CARDIAC MAPPING SYSTEMS
38723|Surgical navigation device|L020601|SURGICAL NAVIGATION DEVICES
35974|Cardiac electrophysiology stimulation system|C010303|CARDIAC ELECTROPHYSIOLOGY STIMULATION SYSTEMS
66996|Patient transfer/turning sheet, single-use|G020302|PATIENT TRANSFER/TURNING SHEETS, SINGLE-USE
47069|Proton therapy system|Y040101|PROTON THERAPY SYSTEMS
54244|Insulin-like growth factor I (IGF-1) IVD, kit|W010401|INSULIN-LIKE GROWTH FACTOR I (IGF-1)
54187|Follicle stimulating hormone (FSH) IVD, kit|W010402|FOLLICLE STIMULATING HORMONE (FSH)
54242|Insulin-like growth factor binding protein 3 (IGFBP-3) IVD, kit|W010403|INSULIN-LIKE GROWTH FACTOR BINDING PROTEIN 3 (IGFBP-3)
44776|Electrosurgical system|L010102|ELECTROSURGICAL SYSTEMS
56021|Coagulation factor VIII IVD, kit|W010404|COAGULATION FACTOR VIII
55981|Activated partial thromboplastin time (APTT) IVD, kit|W010411|ACTIVATED PARTIAL THROMBOPLASTIN TIME
44307|Coronary atherectomy device|C010401|CORONARY ATHERECTOMY DEVICES
31700|External pacemaker pulse generator|C010203|EXTERNAL PACEMAKER PULSE GENERATORS
48468|Human immunodeficiency virus (HIV) drug resistance genotyping IVD, kit|W010801|HUMAN IMMUNODEFICIENCY VIRUS (HIV) DRUG RESISTANCE GENOTYPING
62537|Blood glucose meter|W010501|BLOOD GLUCOSE METERS
60780|Troponin I IVD, kit|W010405|TROPONIN I
54003|Troponin T IVD, kit|W010406|TROPONIN T
54386|Thyroid stimulating hormone (TSH) IVD, kit|W010407|THYROID STIMULATING HORMONE (TSH)
54254|Luteinizing hormone (LH) IVD, kit|W010408|LUTEINIZING HORMONE (LH)
54322|Progesterone IVD, kit|W010409|PROGESTERONE
54335|Prolactin IVD, kit|W010410|PROLACTIN
56701|Automated immunoassay system|W010601|AUTOMATED IMMUNOASSAY SYSTEMS
56661|Blood gas/pH analyser|W010701|BLOOD GAS/PH ANALYSERS
37861|Surgical smoke evacuator|L020701|SURGICAL SMOKE EVACUATORS
46483|Surgical smoke evacuator tubing|L020702|SURGICAL SMOKE EVACUATOR TUBING
44979|Surgical smoke evacuator filter|L020703|SURGICAL SMOKE EVACUATOR FILTERS
38385|Radiographic Quality Assurance device|Y050101|RADIOGRAPHIC QUALITY ASSURANCE DEVICES
34919|Intra-aortic balloon pump catheter|C010501|INTRA-AORTIC BALLOON PUMP CATHETERS
11067|Cryosurgical unit|L010201|CRYOSURGICAL UNITS
32871|External fixation system wrench|P010201|EXTERNAL FIXATION SYSTEM WRENCHES
34893|Cardiopulmonary bypass arterial cannula|C010602|CARDIOPULMONARY BYPASS CANNULAS
64585|Heart-lung bypass heat exchanger|C010601|HEART-LUNG BYPASS HEAT EXCHANGERS
46719|Atherectomy device catheter|C010402|ATHERECTOMY DEVICE CATHETERS
35094|Coronary angioplasty catheter guidewire|C020101|PTCA GUIDEWIRES
47732|Percutaneous transluminal coronary angioplasty (PTCA) catheter|C020201|PTCA CATHETERS
53616|Coronary artery stent|C030101|CORONARY STENTS
56284|Drug-eluting coronary artery stent|C030102|DRUG-ELUTING CORONARY STENTS
46455|Steerable catheter guidewire|C010305|STEERABLE CATHETER GUIDEWIRES
10688|Angiographic catheter|C010306|ANGIOGRAPHIC CATHETERS
32721|Ophthalmic tonometer|Z110601|OPHTHALMIC TONOMETERS
61176|Bone-conduction hearing aid|Z110504|BONE-CONDUCTION HEARING AIDS
35958|Endoscopic camera|L020506|ENDOSCOPIC CAMERAS
37278|Dialysis catheter|D010102|DIALYSIS CATHETERS
13215|Infusion pump|A010301|INFUSION PUMPS
33541|Surgical drill|L020801|SURGICAL DRILLS
46476|Surgical saw|L020802|SURGICAL SAWS
47790|Ultrasound therapy system|Z110701|ULTRASOUND THERAPY SYSTEMS
35580|Medical image digitizer|Y030102|MEDICAL IMAGE DIGITIZERS
34937|Medical chart recorder|Z110801|MEDICAL CHART RECORDERS
47842|Contact lens|Z110602|CONTACT LENSES
16918|Ophthalmic perimeter|Z110605|OPHTHALMIC PERIMETERS
33181|Hip prosthesis|P020201|HIP PROSTHESES
33692|Knee prosthesis|P020202|KNEE PROSTHESES
35670|Shoulder prosthesis|P020203|SHOULDER PROSTHESES
40124|Elbow prosthesis|P020204|ELBOW PROSTHESES
33718|Ankle prosthesis|P020205|ANKLE PROSTHESES
33705|Wrist prosthesis|P020206|WRIST PROSTHESES
33700|Toe prosthesis|P020207|TOE PROSTHESES
33786|Finger prosthesis|P020208|FINGER PROSTHESES
34671|Hearing aid|Z110505|HEARING AIDS
66947|Bone screw|P010202|BONE SCREWS
46647|Bone plate|P010203|BONE PLATES
38152|Intramedullary nail|P010204|INTRAMEDULLARY NAILS
44808|Bone wire|P010205|BONE WIRES
35281|Vascular graft|C040101|VASCULAR GRAFTS
58130|Arteriovenous (AV) fistula graft|D010301|ARTERIOVENOUS FISTULA GRAFTS
60240|Prosthetic heart valve, mechanical|C050101|MECHANICAL HEART VALVES
60242|Prosthetic heart valve, tissue|C050102|TISSUE HEART VALVES
32854|Bone pin|P010206|BONE PINS
35647|External fixation system|P010207|EXTERNAL FIXATION SYSTEMS
38161|Spinal intervertebral body fusion cage|P030201|SPINAL INTERVERTEBRAL BODY FUSION CAGES
34926|Urinary catheter|U010102|URINARY CATHETERS
65115|Pedicle screw spinal system|P030202|PEDICLE SCREW SPINAL SYSTEMS
46653|Spinal plate|P030203|SPINAL PLATES
48165|Artificial spinal disc|P030204|ARTIFICIAL SPINAL DISCS
34040|Doppler ultrasound system|Y010101|DOPPLER ULTRASOUND SYSTEMS
12143|Surgical instrument tray|L020901|SURGICAL INSTRUMENT TRAYS
59875|Surgical stapler|L021001|SURGICAL STAPLERS
43053|Laparoscope|L020507|LAPAROSCOPES
36150|Surgical laser|L010301|SURGICAL LASERS
16231|Electrocardiograph|C010701|ELECTROCARDIOGRAPHS
34978|Blood pressure cuff|C010801|BLOOD PRESSURE CUFFS
46362|Cardiovascular diagnostic catheter|C010307|CARDIOVASCULAR CATHETERS
42584|Intravascular ultrasound (IVUS) catheter|C010308|INTRAVASCULAR ULTRASOUND CATHETERS
61281|Peripheral arterial catheter guidewire|C060101|PERIPHERAL GUIDEWIRES
10688|Peripheral arterial catheter|C060201|PERIPHERAL CATHETERS
10729|Peripheral venous catheter|C060202|PERIPHERAL CATHETERS
37645|Diagnostic x-ray system|Y050201|DIAGNOSTIC X-RAY SYSTEMS
45851|Carotid artery stent|C030201|CAROTID STENTS
47932|Peripheral artery stent|C030301|PERIPHERAL STENTS
43691|Biliary stent|J010101|BILIARY STENTS
43630|Tracheal/bronchial stent|R030101|TRACHEAL/BRONCHIAL STENTS
61751|Oesophageal stent|J010102|OESOPHAGEAL STENTS
58005|Ureteral stent|U010301|URETERAL STENTS
45418|Septal occluder|C070101|SEPTAL OCCLUDERS
47113|Carotid shunt|C070201|CAROTID SHUNTS
37654|Magnetic resonance imaging system|Y060101|MAGNETIC RESONANCE IMAGING SYSTEMS
46777|Aortic stent graft|C040201|AORTIC STENT GRAFTS
48060|Thoracic stent graft|C040202|THORACIC STENT GRAFTS
63144|Fenestrated/Branched aortic stent graft|C040203|FENESTRATED/BRANCHED AORTIC STENT GRAFTS
60245|Transcatheter aortic valve|C050201|TRANSCATHETER AORTIC VALVES
60246|Transcatheter pulmonary valve|C050202|TRANSCATHETER PULMONARY VALVES
44864|Venous valve|C050301|VENOUS VALVES
37618|Computed tomography x-ray system|Y050301|COMPUTED TOMOGRAPHY X-RAY SYSTEMS
47017|Syringe|A020104|SYRINGES
47178|Surgical gloves|L020204|SURGICAL GLOVES
64574|Short-term peripheral venous catheter|A010103|PERIPHERAL CATHETERS
46967|Endotracheal tube|R020304|ENDOTRACHEAL TUBES
61123|Hydrocephalus shunt valve|N010201|HYDROCEPHALUS VALVES
34210|Neurostimulator|N010301|NEUROSTIMULATORS
34958|Aneurysm clip|N010401|ANEURYSM CLIPS
60970|Medical-gas regulator|R020103|MEDICAL GAS REGULATORS
61785|Electrophysiology diagnostic catheter|C010309|ELECTROPHYSIOLOGY CATHETERS
15015|Oxygen analyser|R020104|OXYGEN ANALYSERS
38211|Patient scale|Z110102|PATIENT SCALES
41512|Wheelchair|G020102|WHEELCHAIRS
35094|Catheter guide wire|C010301|CATHETER GUIDEWIRES
34864|Bandage|M010102|BANDAGES
13910|Suture|L040202|SUTURES
