EMDN V2					
CATEGORY 	CATEGORY DESCRIPTION	CODE	TERM	LEVEL 	TERMINAL LEVEL YES/NO 
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A018003	NEEDLE INTRODUCERS	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A018004	NEEDLE CONNECTORS AND ADAPTERS	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A018005	NEEDLE COUNTING CONTAINERS	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A018006	HYPODERMIC NEEDLES PEN INJECTORS	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A018099	NEEDLES - OTHER ACCESSORIES	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A0190	NEEDLES FOR OTHER PROCEDURES	3	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A019001	BLUNT NEEDLES	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A019002	ACUPUNCTURE NEEDLES	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A019003	ALCOHOLISATION NEEDLES	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A019004	OPEN SURGERY CHOLANGIOGRAPHY NEEDLES AND KITS	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A019005	GALACTOGRAPHY NEEDLES AND KITS	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A019006	MESOTHERAPY NEEDLES	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A019007	SCLEROTHERAPY NEEDLES AND KITS	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A019008	MEDICAL PROCEDURES TATTOOING NEEDLES (NOT ENDOSCOPIC)	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A019009	DRAINAGE NEEDLES	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A019010	ANGIOGRAPHY NEEDLES	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A019011	INTRAOSSEOUS INFUSION AND VERTEBROPLASTY INFUSION NEEDLES AND KITS	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A019012	BREAST NODULES AND OTHER STRUCTURES LOCALISATION NEEDLES AND SYSTEMS	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A019013	PERCUTANEOUS NEEDLES	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A019014	LUMBAR PUNCTURE NEEDLES AND KITS	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A019015	PERI- AND NEO-NATAL EPICRANIAL NEEDLES	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A019016	BRACHYTHERAPY NEEDLES 	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A019099	NEEDLES FOR OTHER PROCEDURES - OTHER	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A0199	NEEDLES - OTHER	3	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A02	SYRINGES	2	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A0201	SINGLE-USE SYRINGES	3	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A020101	LOSS-OF-RESISTANCE SYRINGES	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A020102	INFUSION AND IRRIGATION SYRINGES, SINGLE-USE 	4	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A02010201	INFUSION AND IRRIGATION SYRINGES, LUER CONE, SINGLE-USE	5	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A0201020101	INFUSION AND IRRIGATION SYRINGES, 2-PIECE LUER CONE, SINGLE-USE	6	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A020102010101	INFUSION AND IRRIGATION SYRINGES, 2-PIECE LUER CONE, 2-PIECE WITH NEEDLE, SINGLE-USE	7	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A020102010102	INFUSION AND IRRIGATION SYRINGES, 2-PIECE LUER CONE, 2-PIECE WITHOUT NEEDLE, SINGLE-USE	7	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A0201020102	INFUSION AND IRRIGATION SYRINGES, LUER CONE, 3-PIECE	6	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A020102010201	INFUSION AND IRRIGATION SYRINGES, LUER CONE, 3-PIECE WITH NEEDLE, SINGLE-USE	7	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A020102010202	INFUSION AND IRRIGATION SYRINGES, LUER CONE, 3-PIECE WITHOUT NEEDLE, SINGLE-USE	7	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A02010202	INFUSION AND IRRIGATION SYRINGES, LUER LOCK CONE, SINGLE-USE	5	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A0201020201	INFUSION AND IRRIGATION SYRINGES, LUER LOCK CONE, 3-PIECE, SINGLE-USE	6	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A020102020101	INFUSION AND IRRIGATION SYRINGES, LUER LOCK CONE, 3-PIECE WITH NEEDLE, SINGLE-USE	7	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A020102020102	INFUSION AND IRRIGATION SYRINGES, LUER LOCK CONE, 3-PIECE WITHOUT NEEDLE, SINGLE-USE	7	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A02010203	INFUSION AND IRRIGATION SYRINGES, CATHETER CONE, SINGLE-USE	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A02010204	INFUSION AND IRRIGATION SYRINGES, WITHOUT CONE, WITH FIXED NEEDLE, SINGLE-USE	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A02010205	INFUSION AND IRRIGATION SYRINGES WITH SAFETY SYSTEM, SINGLE-USE	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A02010299	INFUSION AND IRRIGATION SYRINGES - OTHER	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A020104	SYRINGES FOR INJECTORS, SINGLE-USE	4	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A02010401	SYRINGES FOR CONTRAST MEDIA INJECTOR, SINGLE-USE	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A02010499	SYRINGES FOR INJECTOR, SINGLE-USE - OTHER	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A020105	BLOOD GAS ANALYSIS, SYRINGES WITH NEEDLES AND KITS	4	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A02010501	BLOOD GAS ANALYSIS, SYRINGES WITH NEEDLE W/O SAFETY SYSTEM AND KITS 	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A02010502	BLOOD GAS ANALYSIS, SYRINGES WITH SAFETY NEEDLE AND KITS 	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A020106	INSULIN SYRINGES, SINGLE-USE 	4	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A02010601	INSULIN SYRINGES WITH FIXED NEEDLE, SINGLE-USE 	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A02010602	INSULIN SYRINGES W/O FIXED NEEDLES, SINGLE-USE	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A02010603	INSULIN SYRINGES WITH SAFETY SYSTEM, SINGLE-USE 	5	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A0201060301	INSULIN SYRINGES WITH SAFETY SYSTEMS AND FIXED NEEDLES, SINGLE-USE	6	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A0201060302	INSULIN SYRINGES WITH SAFETY SYSTEMS W/O FIXED NEEDLE, SINGLE-USE	6	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A02010699	INSULIN SYRINGES, SINGLE-USE - OTHER	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A020107	PREFILLED SYRINGES	4	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A02010701	PREFILLED SYRINGES WITH STERILE PHYSIOLOGICAL SOLUTION	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A02010702	PREFILLED SYRINGES WITH STERILE WATER	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A02010799	PREFILLED SYRINGES - OTHER	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A020108	ENTERAL FEEDING SYRINGES	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A020109	TUBERCULIN SYRINGES, SINGLE-USE 	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A020199	SYRINGES, SINGLE-USE - OTHER	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A0202	REUSABLE SYRINGES	3	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A020201	REUSABLE INFUSION SYRINGES	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A020202	REUSABLE IRRIGATION SYRINGES	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A020203	CARTRIDGE SYRINGES	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A020299	REUSABLE SYRINGES - OTHER	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A0280	SYRINGES - ACCESSORIES	3	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A0299	SYRINGES - OTHER	3	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A03	TUBULAR DEVICES	2	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A0301	FLOW CONTROLLERS	3	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A030101	INFUSION CONTROLLERS	4	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A03010101	INFUSION CONTROLLERS WITH OR W/O AIR INLET	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A03010102	INFUSION CONTROLLERS WITH FILTER (ALSO TRANSFUSION CONTROLLERS)	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A03010103	INFUSION CONTROLLERS WITH FLOW REGULATOR	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A03010104	INFUSION MICRO-CONTROLLERS	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A03010105	INFUSION PUMP CONTROLLERS	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A03010199	INFUSION CONTROLLERS - OTHER	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A030102	IRRIGATION CONTROLLERS	4	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A03010201	ARTHROSCOPIC IRRIGATION CONTROLLERS	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A03010202	UROLOGICAL IRRIGATION CONTROLLERS	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A03010299	IRRIGATION CONTROLLERS - OTHER	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A030103	ENTERAL FEEDING CONTROLLERS	4	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A03010301	ENTERAL FEEDING GRAVITY CONTROLLERS	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A03010302	ENTERAL FEEDING PUMP CONTROLLERS	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A03010399	ENTERAL FEEDING CONTROLLERS - OTHER	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A030104	FLOW REGULATORS	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A030105	FLUIDS HEATING SYSTEMS	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A030199	CONTROLLERS - OTHER	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A0302	EXTENSION LINES	3	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A030201	EXTENSIONS	4	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A03020101	LOW PRESSURE EXTENSION LINES	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A03020102	HIGH PRESSURE EXTENSION LINES	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A03020199	EXTENSIONS - OTHER	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A0303	RAPID INFUSION SYSTEMS (HIGH FLOW)	3	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A0304	ADMINISTRATION KITS	3	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A030401	INFUSION KITS (INCLUDING THOSE VIA PUMP), SINGLE-USE	4	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A03040101	KITS FOR CONTINUOUS SUBCUTANEOUS INSULIN INFUSION	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A03040102	INTRAOSSEOUS INFUSION KITS, SINGLE-USE	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A03040199	INFUSION KITS (WITH OR W/O PUMP), SINGLE-USE - OTHER	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A030402	IRRIGATION KITS, SINGLE-USE	4	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A03040201	BLADDER IRRIGATION KITS, SINGLE-USE	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A03040202	OCULAR IRRIGATION KITS, SINGLE-USE	5	YES
